report_date,professional_id,report_problem_id,problem_name
2025-01-14 13:20:00,6950,32516,คืนงาน (กะทันหัน)
2025-01-14 15:12:00,5470,32519,คืนงาน (ล่วงหน้า)
2025-01-14 16:33:00,11531,32522,คืนงาน (กะทันหัน)
2025-01-14 17:31:00,11617,32523,คืนงาน (ล่วงหน้า)
2025-01-14 17:46:00,11558,32524,คืนงาน (ล่วงหน้า)
2025-01-14 17:24:00,10332,32525,คืนงาน (ล่วงหน้า)
2025-01-14 21:10:00,6987,32526,คืนงาน (ล่วงหน้า)
2025-01-15 08:03:00,12083,32527,คืนงาน (ล่วงหน้า)
2025-01-15 08:32:00,10917,32532,คืนงาน (กะทันหัน)
2025-01-15 08:35:00,11279,32534,คืนงาน (กะทันหัน)
2025-01-15 12:35:00,4975,32536,คืนงาน (ล่วงหน้า)
2025-01-15 13:06:00,9280,32539,คืนงาน (กะทันหัน)
2025-01-15 15:13:00,10232,32541,คืนงาน (ล่วงหน้า)
2025-01-15 17:10:00,10397,32544,คืนงาน (ล่วงหน้า)
2025-01-15 17:14:00,11401,32545,คืนงาน (ล่วงหน้า)
2025-01-15 18:24:00,11298,32546,คืนงาน (ล่วงหน้า)
2025-01-15 19:16:00,6935,32548,คืนงาน (ล่วงหน้า)
2025-01-15 18:29:00,11051,32550,คืนงาน (กะทันหัน)
2025-01-16 06:31:00,11866,32551,คืนงาน (กะทันหัน)
2025-01-16 06:59:00,12125,32552,คืนงาน (กะทันหัน)
2025-01-16 07:51:00,11437,32554,คืนงาน (ล่วงหน้า)
2025-01-16 08:32:00,10938,32557,คืนงาน (ล่วงหน้า)
2025-01-16 08:42:00,11461,32558,คืนงาน (ล่วงหน้า)
2025-01-16 08:35:00,9713,32560,คืนงาน (กะทันหัน)
2025-01-16 09:42:00,11954,32561,คืนงาน (กะทันหัน)
2025-01-16 10:09:00,11017,32563,คืนงาน (ล่วงหน้า)
2025-01-16 10:38:00,10342,32564,คืนงาน (ล่วงหน้า)
2025-01-16 12:48:00,3848,32566,คืนงาน (กะทันหัน)
2025-01-16 14:22:00,11850,32568,คืนงาน (ล่วงหน้า)
2025-01-16 13:40:00,3848,32569,คืนงาน (ล่วงหน้า)
2025-01-16 14:30:00,12049,32570,คืนงาน (ล่วงหน้า)
2025-01-16 15:46:00,10414,32572,คืนงาน (กะทันหัน)
2025-01-16 19:09:00,6543,32576,คืนงาน (กะทันหัน)
2025-01-16 20:07:00,11626,32578,คืนงาน (ล่วงหน้า)
2025-01-17 07:28:00,7230,32579,คืนงาน (กะทันหัน)
2025-01-17 07:50:00,6935,32580,คืนงาน (กะทันหัน)
2025-01-17 08:22:00,9208,32582,คืนงาน (กะทันหัน)
2025-01-17 07:14:00,9849,32583,คืนงาน (กะทันหัน)
2025-01-17 10:00:00,11811,32584,คืนงาน (ล่วงหน้า)
2025-01-17 10:13:00,10295,32585,คืนงาน (ล่วงหน้า)
2025-01-17 10:57:00,11702,32587,คืนงาน (กะทันหัน)
2025-01-17 23:45:00,10100,32588,คืนงาน (ล่วงหน้า)
2025-01-16 19:25:00,11942,32589,คืนงาน (ล่วงหน้า)
2025-01-17 10:35:00,11693,32590,คืนงาน (ล่วงหน้า)
2025-01-17 13:13:00,3762,32591,คืนงาน (กะทันหัน)
2025-01-17 14:17:00,4724,32593,คืนงาน (ล่วงหน้า)
2025-01-17 14:23:00,11827,32594,คืนงาน (กะทันหัน)
2025-01-17 15:16:00,9061,32595,คืนงาน (ล่วงหน้า)
2025-01-17 15:39:00,11758,32596,คืนงาน (กะทันหัน)
2025-01-17 19:12:00,11955,32599,คืนงาน (กะทันหัน)
2025-01-17 19:47:00,11123,32601,คืนงาน (ล่วงหน้า)
2025-01-18 07:42:00,10612,32603,คืนงาน (กะทันหัน)
2025-01-18 09:02:00,9266,32607,คืนงาน (กะทันหัน)
2025-01-17 17:13:00,5310,32608,คืนงาน (ล่วงหน้า)
2025-01-18 11:00:00,10555,32609,คืนงาน (กะทันหัน)
2025-01-18 12:34:00,10757,32610,คืนงาน (ล่วงหน้า)
2025-01-18 01:00:00,9434,32611,คืนงาน (กะทันหัน)
2025-01-18 13:26:00,3769,32612,คืนงาน (ล่วงหน้า)
2025-01-18 14:06:00,2106,32614,คืนงาน (ล่วงหน้า)
2025-01-19 06:54:00,10287,32627,คืนงาน (กะทันหัน)
2025-01-19 07:11:00,10369,32628,คืนงาน (กะทันหัน)
2025-01-19 09:56:00,11437,32635,คืนงาน (ล่วงหน้า)
2025-01-19 10:11:00,12042,32636,คืนงาน (ล่วงหน้า)
2025-01-19 11:10:00,7584,32639,คืนงาน (กะทันหัน)
2025-01-19 10:56:00,11450,32640,คืนงาน (กะทันหัน)
2025-01-19 12:12:00,2887,32642,คืนงาน (ล่วงหน้า)
2025-01-19 12:36:00,7421,32645,คืนงาน (กะทันหัน)
2025-01-19 13:33:00,11965,32647,คืนงาน (กะทันหัน)
2025-01-19 13:35:00,11850,32648,คืนงาน (กะทันหัน)
2025-01-19 13:07:00,10037,32649,คืนงาน (กะทันหัน)
2025-01-19 14:07:00,10094,32650,คืนงาน (ล่วงหน้า)
2025-01-19 17:05:00,6998,32652,คืนงาน (ล่วงหน้า)
2025-01-19 17:32:00,11477,32655,คืนงาน (กะทันหัน)
2025-01-19 18:34:00,10490,32656,คืนงาน (ล่วงหน้า)
2025-01-19 19:15:00,5011,32657,คืนงาน (กะทันหัน)
2025-01-20 07:01:00,3599,32662,คืนงาน (ล่วงหน้า)
2025-01-20 09:54:00,5444,32664,คืนงาน (ล่วงหน้า)
2025-01-20 09:55:00,11035,32665,คืนงาน (กะทันหัน)
2025-01-20 11:43:00,10819,32667,คืนงาน (ล่วงหน้า)
2025-01-20 15:01:00,11702,32671,คืนงาน (ล่วงหน้า)
2025-01-20 15:03:00,4975,32672,คืนงาน (ล่วงหน้า)
2025-01-20 15:40:00,12102,32673,คืนงาน (กะทันหัน)
2025-01-21 08:13:00,11678,32678,คืนงาน (กะทันหัน)
2025-01-21 08:26:00,8132,32682,คืนงาน (ล่วงหน้า)
2025-01-21 08:28:00,8132,32683,คืนงาน (ล่วงหน้า)
2025-01-21 08:02:00,6998,32685,คืนงาน (กะทันหัน)
2025-01-21 08:33:00,11449,32686,คืนงาน (กะทันหัน)
2025-01-21 09:30:00,11120,32687,คืนงาน (กะทันหัน)
2025-01-21 12:18:00,5124,32688,คืนงาน (กะทันหัน)
2025-01-21 12:45:00,7521,32689,คืนงาน (ล่วงหน้า)
2025-01-21 12:54:00,11080,32690,คืนงาน (ล่วงหน้า)
2025-01-21 13:37:00,1360,32691,คืนงาน (ล่วงหน้า)
2025-01-21 15:49:00,2017,32696,คืนงาน (ล่วงหน้า)
2025-01-21 17:21:00,12094,32697,คืนงาน (กะทันหัน)
2025-01-22 09:23:00,8552,32704,คืนงาน (กะทันหัน)
2025-01-22 13:35:00,11379,32709,คืนงาน (ล่วงหน้า)
2025-01-22 13:35:00,300,32710,คืนงาน (ล่วงหน้า)
2025-01-22 14:39:00,11966,32711,คืนงาน (กะทันหัน)
2025-01-22 15:42:00,9924,32712,คืนงาน (ล่วงหน้า)
2025-01-22 17:03:00,11511,32715,คืนงาน (กะทันหัน)
2025-01-23 08:35:00,11811,32721,คืนงาน (กะทันหัน)
2025-01-23 09:33:00,5966,32723,คืนงาน (กะทันหัน)
2025-01-23 10:08:00,9598,32724,คืนงาน (กะทันหัน)
2025-01-23 09:55:00,11279,32726,คืนงาน (กะทันหัน)
2025-01-23 10:21:00,4713,32727,คืนงาน (กะทันหัน)
2025-01-23 10:44:00,11089,32729,คืนงาน (ล่วงหน้า)
2025-01-23 11:04:00,11941,32730,คืนงาน (กะทันหัน)
2025-01-23 13:05:00,9941,32731,คืนงาน (ล่วงหน้า)
2025-01-23 13:16:00,1783,32732,คืนงาน (ล่วงหน้า)
2025-01-23 19:42:00,5573,32738,คืนงาน (กะทันหัน)
2025-01-24 08:32:00,6023,32744,คืนงาน (ล่วงหน้า)
2025-01-24 09:06:00,8122,32745,คืนงาน (กะทันหัน)
2025-01-24 09:01:00,9501,32746,คืนงาน (กะทันหัน)
2025-01-24 10:28:00,12012,32747,คืนงาน (กะทันหัน)
2025-01-24 10:15:00,11120,32748,คืนงาน (ล่วงหน้า)
2025-01-24 10:19:00,12030,32749,คืนงาน (ล่วงหน้า)
2025-01-24 10:56:00,10577,32751,คืนงาน (ล่วงหน้า)
2025-01-24 12:27:00,11466,32753,คืนงาน (กะทันหัน)
2025-01-24 12:15:00,8834,32755,คืนงาน (กะทันหัน)
2025-01-24 13:13:00,756,32757,คืนงาน (ล่วงหน้า)
2025-01-24 13:27:00,11814,32761,คืนงาน (ล่วงหน้า)
2025-01-24 14:17:00,10758,32762,คืนงาน (ล่วงหน้า)
2025-01-24 13:44:00,756,32763,คืนงาน (ล่วงหน้า)
2025-01-24 13:30:00,3621,32764,คืนงาน (ล่วงหน้า)
2025-01-24 15:12:00,9784,32765,คืนงาน (ล่วงหน้า)
2025-01-24 14:32:00,9174,32766,คืนงาน (กะทันหัน)
2025-01-24 15:45:00,11049,32768,คืนงาน (กะทันหัน)
2025-01-25 07:33:00,12142,32770,คืนงาน (กะทันหัน)
2025-01-25 08:17:00,9991,32772,คืนงาน (กะทันหัน)
2025-01-25 23:07:00,2887,32774,คืนงาน (ล่วงหน้า)
2025-01-25 09:04:00,9405,32775,คืนงาน (กะทันหัน)
2025-01-25 09:38:00,10504,32776,คืนงาน (กะทันหัน)
2025-01-25 11:18:00,8883,32777,คืนงาน (กะทันหัน)
2025-01-25 16:11:00,12128,32782,คืนงาน (ล่วงหน้า)
2025-01-25 10:40:00,6543,32783,คืนงาน (ล่วงหน้า)
2025-01-25 17:00:00,4817,32784,คืนงาน (ล่วงหน้า)
2025-01-25 17:18:00,12030,32785,คืนงาน (ล่วงหน้า)
2025-01-25 17:25:00,5429,32786,คืนงาน (ล่วงหน้า)
2025-01-25 19:19:00,12080,32789,คืนงาน (กะทันหัน)
2025-01-26 08:32:00,5138,32794,คืนงาน (ล่วงหน้า)
2025-01-26 09:07:00,11489,32795,คืนงาน (ล่วงหน้า)
2025-01-26 09:11:00,2205,32797,คืนงาน (ล่วงหน้า)
2025-01-26 11:35:00,10429,32801,คืนงาน (กะทันหัน)
2025-01-26 13:00:00,7202,32805,คืนงาน (กะทันหัน)
2025-01-26 14:56:00,11815,32813,คืนงาน (กะทันหัน)
2025-01-26 14:57:00,10814,32815,คืนงาน (กะทันหัน)
2025-01-26 17:23:00,9828,32818,คืนงาน (ล่วงหน้า)
2025-01-27 08:36:00,9830,32829,คืนงาน (กะทันหัน)
2025-01-27 09:41:00,11373,32834,คืนงาน (กะทันหัน)
2025-01-27 08:57:00,11982,32837,คืนงาน (กะทันหัน)
2025-01-27 00:08:00,8219,32840,คืนงาน (กะทันหัน)
2025-01-27 12:52:00,11015,32841,คืนงาน (กะทันหัน)
2025-01-27 13:24:00,2046,32843,คืนงาน (กะทันหัน)
2025-01-27 14:33:00,1360,32845,คืนงาน (กะทันหัน)
2025-01-27 20:20:00,11974,32852,คืนงาน (กะทันหัน)
2025-01-28 05:18:00,8736,32853,คืนงาน (กะทันหัน)
2025-01-28 08:17:00,4650,32859,คืนงาน (กะทันหัน)
2025-01-28 08:27:00,11602,32861,คืนงาน (กะทันหัน)
2025-01-28 08:57:00,10216,32862,คืนงาน (กะทันหัน)
2025-01-28 10:25:00,11758,32863,คืนงาน (กะทันหัน)
2025-01-28 12:07:00,5595,32865,คืนงาน (กะทันหัน)
2025-01-28 12:55:00,7052,32867,คืนงาน (กะทันหัน)
2025-01-28 14:42:00,11373,32870,คืนงาน (กะทันหัน)
2025-01-28 16:35:00,11957,32873,คืนงาน (กะทันหัน)
2025-01-28 16:30:00,11841,32874,คืนงาน (ล่วงหน้า)
2025-01-28 16:59:00,7290,32876,คืนงาน (กะทันหัน)
